Product Title,SEO Title (<=60),Meta Description (<=160),Short Description,Long Description,Keywords,Category (Suggested),Target Gender,Brand,Image Folder,Main Image File,Price,Main Image Source
Bio Oil Therapie Baume Corps 400ml,Bio Oil Therapie Baume Corps 400ml,"Shop Bio Oil Therapie Baume Corps 400ml by BIOTHERM, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.",BIOTHERM Bio Oil Therapie Baume Corps 400ml | Beauty essential | Priced at £23.30,Experience Bio Oil Therapie Baume Corps 400ml from BIOTHERM—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B0006V5W10,"biotherm, bio, oil, therapie, baume, corps, 400ml, beauty",Beauty,Unisex,BIOTHERM,images/bio-oil-therapie-baume-corps-400ml,1.webp,£23.30,https://m.media-amazon.com/images/I/51lACmGusCL.jpg
"Elizabeth Arden Red Door Eau de Toilette Spray, 100ml, floral woody perfume, luxury fragrance for women","Elizabeth Arden Red Door Eau de Toilette Spray, 100ml…","Shop Elizabeth Arden Red Door Eau de Toilette Spray, 100ml, floral woody perfume, luxury fragrance for women by Red Door, a standout in beauty on Amazon. Great…","Red Door Elizabeth Arden Red Door Eau de Toilette Spray, 100ml, floral woody perfume, luxury fragrance for women | Beauty essential | Priced at £21.95","Experience Elizabeth Arden Red Door Eau de Toilette Spray, 100ml, floral woody perfume, luxury fragrance for women from Red Door—a trusted beauty favourite. Customers rate it 4.6 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B0009OAI1S","red, door, elizabeth, arden, eau, toilette, spray, 100ml, floral, woody, perfume, luxury, fragrance, women, beauty",Beauty,Women,Red Door,images/elizabeth-arden-red-door-eau-de,1.webp,£21.95,https://m.media-amazon.com/images/I/61WpcE4r-VL.jpg
"Revlon colorsilk Beautiful Color, 49 Auburn Brown","Revlon colorsilk Beautiful Color, 49 Auburn Brown","Shop Revlon colorsilk Beautiful Color, 49 Auburn Brown by Revlon, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.","Revlon Revlon colorsilk Beautiful Color, 49 Auburn Brown | Beauty essential | Priced at £4.99","Experience Revlon colorsilk Beautiful Color, 49 Auburn Brown from Revlon—a trusted beauty favourite. Customers rate it 4.3 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000GCUN4U","revlon, colorsilk, beautiful, color, auburn, brown, beauty",Beauty,Unisex,Revlon,images/revlon-colorsilk-beautiful-color-49-auburn,1.webp,£4.99,https://m.media-amazon.com/images/I/61T8OHxeHFL.jpg
"Cerruti 1881 Femme Eau De Toilette Spray For Women, 50 ml","Cerruti 1881 Femme Eau De Toilette Spray For Women, 50 ml","Shop Cerruti 1881 Femme Eau De Toilette Spray For Women, 50 ml by Cerruti 1881, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady…","Cerruti 1881 Cerruti 1881 Femme Eau De Toilette Spray For Women, 50 ml | Beauty essential | Priced at £20.04","Experience Cerruti 1881 Femme Eau De Toilette Spray For Women, 50 ml from Cerruti 1881—a trusted beauty favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000JCDV3C","cerruti, 1881, femme, eau, toilette, spray, women, beauty",Beauty,Women,Cerruti 1881,images/cerruti-1881-femme-eau-de-toilette,1.webp,£20.04,https://m.media-amazon.com/images/I/51+GIT0-8xL.jpg
"Sarah Jessica Parker Lovely Eau de Parfum for Women 30ml Spray, Delicate Female Perfume, Fragrance For Women, Women's Eau de Perfume for Travel, Womens Perfumes - Genuine SJP Perfume for Women",Sarah Jessica Parker Lovely Eau de Parfum for Women 30ml…,"Shop Sarah Jessica Parker Lovely Eau de Parfum for Women 30ml Spray, Delicate Female Perfume, Fragrance For Women, Women's Eau de Perfume for Travel, Womens…","Sarah Jessica Parker Sarah Jessica Parker Lovely Eau de Parfum for Women 30ml Spray, Delicate Female Perfume, Fragrance For Women, Women's Eau de Perfume for Travel, Womens Perfumes - Genuine SJP Perfume for Women | Beauty essential | Priced at £11.59","Experience Sarah Jessica Parker Lovely Eau de Parfum for Women 30ml Spray, Delicate Female Perfume, Fragrance For Women, Women's Eau de Perfume for Travel, Womens Perfumes - Genuine SJP Perfume for Women from Sarah Jessica Parker—a trusted beauty favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000JL69OG","sarah, jessica, parker, lovely, eau, parfum, women, 30ml, spray, delicate, female, perfume, fragrance, women's, travel",Beauty,Women,Sarah Jessica Parker,images/sarah-jessica-parker-lovely-eau-de,1.webp,£11.59,https://m.media-amazon.com/images/I/51L7B2yoxGL.jpg
"DAVID BECKHAM Instinct - Eau De Toilette For Men - Woody Aromatic Perfume With Notes Of Bergamot, Star Anis, Vetyver - Long-lasting - 75ml",DAVID BECKHAM Instinct - Eau De Toilette For Men - Woody…,"Shop DAVID BECKHAM Instinct - Eau De Toilette For Men - Woody Aromatic Perfume With Notes Of Bergamot, Star Anis, Vetyver - Long-lasting - 75ml by David…","David Beckham DAVID BECKHAM Instinct - Eau De Toilette For Men - Woody Aromatic Perfume With Notes Of Bergamot, Star Anis, Vetyver - Long-lasting - 75ml | Beauty essential | Priced at £22.99","Experience DAVID BECKHAM Instinct - Eau De Toilette For Men - Woody Aromatic Perfume With Notes Of Bergamot, Star Anis, Vetyver - Long-lasting - 75ml from David Beckham—a trusted beauty favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000P3X8JC","david, beckham, instinct, eau, toilette, men, woody, aromatic, perfume, notes, bergamot, star, anis, vetyver, long",Beauty,Men,David Beckham,images/david-beckham-instinct-eau-de,1.webp,£22.99,https://m.media-amazon.com/images/I/51rLK2-j+KS.jpg
Palmer's Cocoa Butter Formula Moisturizer Jar With Vitamin E,Palmer's Cocoa Butter Formula Moisturizer Jar With Vitamin E,"Shop Palmer's Cocoa Butter Formula Moisturizer Jar With Vitamin E by Palmer's, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady…",Palmer's Palmer's Cocoa Butter Formula Moisturizer Jar With Vitamin E | Beauty essential | Priced at £7.89,Experience Palmer's Cocoa Butter Formula Moisturizer Jar With Vitamin E from Palmer's—a trusted beauty favourite. Customers rate it 4.7 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000RGBWPO,"palmer's, cocoa, butter, formula, moisturizer, jar, vitamin, beauty",Beauty,Unisex,Palmer's,images/palmers-cocoa-butter-formula-moisturizer-jar,1.webp,£7.89,https://m.media-amazon.com/images/I/71xQLkcQUCL.jpg
"L’Oréal Paris Revitalift Hydrating Night Cream, Anti-Wrinkle Moisturising Formula to Reinforce Skin Elasticity, Smoother and Firmer Skin, Pro-Retinol and Elasti-Peptides, 50ml",L’Oréal Paris Revitalift Hydrating Night Cream…,"Shop L’Oréal Paris Revitalift Hydrating Night Cream, Anti-Wrinkle Moisturising Formula to Reinforce Skin Elasticity, Smoother and Firmer Skin, Pro-Retinol and…","L'Oreal Paris L’Oréal Paris Revitalift Hydrating Night Cream, Anti-Wrinkle Moisturising Formula to Reinforce Skin Elasticity, Smoother and Firmer Skin, Pro-Retinol and Elasti-Peptides, 50ml | Beauty essential | Priced at £7.00","Experience L’Oréal Paris Revitalift Hydrating Night Cream, Anti-Wrinkle Moisturising Formula to Reinforce Skin Elasticity, Smoother and Firmer Skin, Pro-Retinol and Elasti-Peptides, 50ml from L'Oreal Paris—a trusted beauty favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000T21LDE","l'oreal, paris, revitalift, hydrating, night, cream, anti, wrinkle, moisturising, formula, reinforce, skin, elasticity, smoother, firmer",Beauty,Unisex,L'Oreal Paris,images/loréal-paris-revitalift-hydrating-night-cream,1.webp,£7.00,https://m.media-amazon.com/images/I/71nk2QnZc5L.jpg
Panasonic 1148 Zinc 6F22R 9 V Special Power Battery,Panasonic 1148 Zinc 6F22R 9 V Special Power Battery,"Shop Panasonic 1148 Zinc 6F22R 9 V Special Power Battery by Panasonic, a standout in electronics & photo on Amazon. Great choice for FBA sellers seeking steady…",Panasonic Panasonic 1148 Zinc 6F22R 9 V Special Power Battery | Electronics & Photo essential | Priced at £1.79,Experience Panasonic 1148 Zinc 6F22R 9 V Special Power Battery from Panasonic—a trusted electronics & photo favourite. Customers rate it 4.4 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000VH11JQ,"panasonic, 1148, zinc, 6f22r, special, power, battery, electronics, photo",Electronics & Photo,Unisex,Panasonic,images/panasonic-1148-zinc-6f22r-9-v,1.webp,£1.79,https://m.media-amazon.com/images/I/61iLglpuccL.jpg
"David Beckham Intimately, Eau de Toilette For Men 75ml","David Beckham Intimately, Eau de Toilette For Men 75ml","Shop David Beckham Intimately, Eau de Toilette For Men 75ml by Beckham, a standout in beauty on Amazon. Great choice for FBA sellers seeking steady demand.","Beckham David Beckham Intimately, Eau de Toilette For Men 75ml | Beauty essential | Priced at £14.19","Experience David Beckham Intimately, Eau de Toilette For Men 75ml from Beckham—a trusted beauty favourite. Customers rate it 4.5 out of 5 for quality and results. Perfect for Amazon FBA listings with reliable performance data. ASIN: B000VOJHE0","beckham, david, intimately, eau, toilette, men, 75ml, beauty",Beauty,Men,Beckham,images/david-beckham-intimately-eau-de-toilette,1.webp,£14.19,https://m.media-amazon.com/images/I/81bgqzxdTsL.jpg
